RegionCode,Region,Time Period,Household_Avr_size
E92000001,England,2001,2.359158116
E12000008,South East,2001,2.375619508
E38000207,"Englefield Green (part of NHS Windsor, Ascot and M",2001,2.41374092
E38000118,Farnham (part of NHS North East Hampshire and Farn,2001,2.37658614
E38000054,NHS East Surrey CCG,2001,2.392797818
E38000067,NHS Guildford and Waverley CCG,2001,2.367838533
E38000128,NHS North West Surrey CCG,2001,2.355252356
E38000177,NHS Surrey Downs CCG,2001,2.405261072
E38000178,NHS Surrey Heath CCG,2001,2.455468155
E10000030,Surrey,2001,2.38420642
E07000207,Elmbridge,2001,2.377629837
E07000208,Epsom and Ewell,2001,2.406256853
E07000209,Guildford,2001,2.372091691
E07000210,Mole Valley,2001,2.344972192
E07000211,Reigate and Banstead,2001,2.384396642
E07000212,Runnymede,2001,2.342747031
E07000213,Spelthorne,2001,2.33754428
E07000214,Surrey Heath,2001,2.48072255
E07000215,Tandridge,2001,2.439759798
E07000216,Waverley,2001,2.36158216
E07000217,Woking,2001,2.411954197
Addlestone ED,Addlestone,2001,2.256434401
Ash ED,Ash,2001,2.338420586
Ashford ED,Ashford,2001,2.388217523
Ashtead ED,Ashtead,2001,2.434024592
Bagshot Windlesham and Chobham ED,"Bagshot, Windlesham and Chobham",2001,2.3692144
Banstead Woodmansterne and Chipstead ED,"Banstead, Woodmansterne and Chipstead",2001,2.437675201
Bookham and Fetcham West ED,Bookham and Fetcham West,2001,2.404911941
Camberley East ED,Camberley East,2001,2.478179938
Camberley West ED,Camberley West,2001,2.418518519
Caterham Hill ED,Caterham Hill,2001,2.48900463
Caterham Valley ED,Caterham Valley,2001,2.253693542
Chertsey ED,Chertsey,2001,2.270773911
Cobham ED,Cobham,2001,2.538447147
Cranleigh and Ewhurst ED,Cranleigh and Ewhurst,2001,2.321637427
Dorking Hills ED,Dorking Hills,2001,2.270582244
Dorking Rural ED,Dorking Rural,2001,2.359675183
Dorking South and the Holmwoods ED,Dorking South and the Holmwoods,2001,2.310815868
Earlswood and Reigate South ED,Earlswood and Reigate South,2001,2.452917282
East Molesey and Esher ED,East Molesey and Esher,2001,2.380504991
Egham ED,Egham,2001,2.391055046
Englefield Green ED,Englefield Green,2001,2.303481661
Epsom Town and Downs ED,Epsom Town and Downs,2001,2.201808257
Epsom West ED,Epsom West,2001,2.381316348
Ewell ED,Ewell,2001,2.47822403
Ewell Court Auriol and Cuddington ED,"Ewell Court, Auriol and Cuddington",2001,2.475318066
Farnham Central ED,Farnham Central,2001,2.219421102
Farnham North ED,Farnham North,2001,2.436803688
Farnham South ED,Farnham South,2001,2.440560904
Foxhills Thorpe and Virginia Water ED,"Foxhills, Thorpe and Virginia Water",2001,2.400310184
Frimley Green and Mytchett ED,Frimley Green and Mytchett,2001,2.515603799
Godalming North ED,Godalming North,2001,2.27020202
Godalming South Milford and Witley ED,"Godalming South, Milford and Witley",2001,2.452915645
Godstone ED,Godstone,2001,2.447256487
Goldsworth East and Horsell Village ED,Goldsworth East and Horsell Village,2001,2.355951984
Guildford East ED,Guildford East,2001,2.329407501
Guildford North ED,Guildford North,2001,2.479464286
Guildford South East ED,Guildford South East,2001,2.121767834
Guildford South West ED,Guildford South West,2001,2.222806688
Guildford West ED,Guildford West,2001,2.576035723
Haslemere ED,Haslemere,2001,2.294889921
Heatherside and Parkside ED,Heatherside and Parkside,2001,2.617946162
Hersham ED,Hersham,2001,2.310521662
Hinchley Wood Claygate and Oxshott ED,"Hinchley Wood, Claygate and Oxshott",2001,2.507278835
Horley East ED,Horley East,2001,2.347396584
Horley West Salfords and Sidlow ED,"Horley West, Salfords and Sidlow",2001,2.496164213
Horsleys ED,Horsleys,2001,2.446098993
Knaphill and Goldsworth West ED,Knaphill and Goldsworth West,2001,2.493534483
Laleham and Shepperton ED,Laleham and Shepperton,2001,2.302716688
Leatherhead and Fetcham East ED,Leatherhead and Fetcham East,2001,2.288242509
Lightwater West End and Bisley ED,"Lightwater, West End and Bisley",2001,2.497270646
Lingfield ED,Lingfield,2001,2.475028656
Lower Sunbury and Halliford ED,Lower Sunbury and Halliford,2001,2.352747678
Merstham and Banstead South ED,Merstham and Banstead South,2001,2.378228782
Nork and Tattenhams ED,Nork and Tattenhams,2001,2.457698816
Oxted ED,Oxted,2001,2.465219536
Redhill East ED,Redhill East,2001,2.250331712
Redhill West and Meadvale ED,Redhill West and Meadvale,2001,2.308494209
Reigate ED,Reigate,2001,2.227793696
Shalford ED,Shalford,2001,2.404780719
Shere ED,Shere,2001,2.388099808
Staines ED,Staines,2001,2.195648359
Staines South and Ashford West ED,Staines South and Ashford West,2001,2.413627468
Stanwell and Stanwell Moor ED,Stanwell and Stanwell Moor,2001,2.365085049
Sunbury Common and Ashford Common ED,Sunbury Common and Ashford Common,2001,2.358612055
Tadworth Walton and Kingswood ED,"Tadworth, Walton and Kingswood",2001,2.471008891
The Byfleets ED,The Byfleets,2001,2.356707916
The Dittons ED,The Dittons,2001,2.452028332
Walton ED,Walton,2001,2.363622121
Walton South and Oatlands ED,Walton South and Oatlands,2001,2.28170638
Warlingham ED,Warlingham,2001,2.478826689
Waverley Eastern Villages ED,Waverley Eastern Villages,2001,2.43565862
Waverley Western Villages ED,Waverley Western Villages,2001,2.41318152
West Ewell ED,West Ewell,2001,2.505210421
West Molesey ED,West Molesey,2001,2.365179253
Weybridge ED,Weybridge,2001,2.21945219
Woking North ED,Woking North,2001,2.649929705
Woking South ED,Woking South,2001,2.193098385
Woking South East ED,Woking South East,2001,2.487945601
Woking South West ED,Woking South West,2001,2.369461078
Woodham and New Haw ED,Woodham and New Haw,2001,2.478483835
Worplesdon ED,Worplesdon,2001,2.478526536
E05007348,Addlestone Bourneside,2001,2.113995943
E05007349,Addlestone North,2001,2.267946578
E05007411,"Alfold, Cranleigh Rural and Ellens Green",2001,2.098692033
E05007286,Ash South and Tongham,2001,2.394847214
E05007287,Ash Vale,2001,2.301263759
E05007288,Ash Wharf,2001,2.403746513
E05007362,Ashford Common,2001,2.331610942
E05007363,Ashford East,2001,2.385091034
E05007364,Ashford North and Stanwell South,2001,2.513367174
E05007365,Ashford Town,2001,2.481083086
E05007308,Ashtead Common,2001,2.51375
E05007309,Ashtead Park,2001,2.381654907
E05007310,Ashtead Village,2001,2.423498466
E05007273,Auriol,2001,2.501021103
E05007375,Bagshot,2001,2.313096271
E05007329,Banstead Village,2001,2.352219075
E05007311,Beare Green,2001,2.168800931
E05007376,Bisley,2001,2.523413897
E05007412,Blackheath and Wonersh,2001,2.366083446
E05007409,Bletchingley and Nutfield,2001,2.4781101
E05007312,Bookham North,2001,2.353839627
E05007313,Bookham South,2001,2.359699514
E05007314,Box Hill and Headley,2001,2.066074951
E05007413,"Bramley, Busbridge and Hascombe",2001,2.354985755
E05007315,"Brockham, Betchworth and Buckland",2001,2.387060159
E05007440,Brookwood,2001,2.569280344
E05007289,Burpham,2001,2.292456992
E05007410,"Burstow, Horne and Outwood",2001,2.509645581
E05007441,Byfleet,2001,2.347913863
E05007316,"Capel, Leigh and Newdigate",2001,2.423220974
E05007391,Chaldon,2001,2.737089202
E05007317,Charlwood,2001,2.382281553
E05007350,Chertsey Meads,2001,2.275319149
E05007352,Chertsey South and Row Town,2001,2.454501685
E05007351,Chertsey St Anns,2001,2.242904841
E05007414,Chiddingfold and Dunsfold,2001,2.534412956
E05007330,"Chipstead, Hooley and Woodmansterne",2001,2.553335846
E05007377,Chobham,2001,2.342105263
E05007290,Christchurch,2001,2.29112662
E05007291,Clandon and Horsley,2001,2.4784689
E05007251,Claygate,2001,2.490104773
E05007252,Cobham and Downside,2001,2.343068536
E05007253,Cobham Fairmile,2001,2.698988697
E05007274,College,2001,2.283010157
E05007275,Court,2001,2.522498677
E05007415,Cranleigh East,2001,2.433116137
E05007416,Cranleigh West,2001,2.263392857
E05007276,Cuddington,2001,2.511274935
E05007318,Dorking North,2001,2.184313726
E05007319,Dorking South,2001,2.241981468
E05007392,Dormansland and Felcourt,2001,2.476923077
E05007331,Earlswood and Whitebushes,2001,2.430617726
E05007292,Effingham,2001,2.491919192
E05007353,Egham Hythe,2001,2.323550991
E05007354,Egham Town,2001,2.22417154
E05007417,Elstead and Thursley,2001,2.362309645
E05007355,Englefield Green East,2001,2.412828947
E05007356,Englefield Green West,2001,2.416586769
E05007254,Esher,2001,2.477126806
E05007277,Ewell,2001,2.136709996
E05007278,Ewell Court,2001,2.419537518
E05007418,Ewhurst,2001,2.303638645
E05007419,Farnham Bourne,2001,2.442517662
E05007420,Farnham Castle,2001,2.022892239
E05007421,Farnham Firgrove,2001,2.272417707
E05007422,Farnham Hale and Heath End,2001,2.431093394
E05007423,Farnham Moor Park,2001,2.353786622
E05007424,Farnham Shortheath and Boundstone,2001,2.47519084
E05007425,Farnham Upper Hale,2001,2.57030303
E05007426,Farnham Weybourne and Badshot Lea,2001,2.322580645
E05007427,Farnham Wrecclesham and Rowledge,2001,2.413017032
E05007393,Felbridge,2001,2.598971722
E05007320,Fetcham East,2001,2.586864407
E05007321,Fetcham West,2001,2.540368722
E05007357,Foxhills,2001,2.294523502
E05007428,"Frensham, Dockenfield and Tilford",2001,2.514172709
E05007293,Friary and St Nicolas,2001,2.090136986
E05007378,Frimley,2001,2.495266781
E05007379,Frimley Green,2001,2.566029144
E05007429,Godalming Binscombe,2001,2.546977858
E05007430,Godalming Central and Ockford,2001,2.234031133
E05007431,Godalming Charterhouse,2001,2.199097938
E05007432,Godalming Farncombe and Catteshall,2001,2.186034913
E05007433,Godalming Holloway,2001,2.615184945
E05007394,Godstone,2001,2.422594142
E05007442,Goldsworth East,2001,2.273432651
E05007443,Goldsworth West,2001,2.4685021
E05007366,Halliford and Sunbury West,2001,2.341045074
E05007395,Harestone,2001,2.307061791
E05007434,Haslemere Critchmere and Shottermill,2001,2.303503588
E05007435,Haslemere East and Grayswood,2001,2.300350604
E05007380,Heatherside,2001,2.577845617
E05007444,Hermitage and Knaphill South,2001,2.325570981
E05007255,Hersham North,2001,2.374845869
E05007256,Hersham South,2001,2.280213496
E05007257,Hinchley Wood,2001,2.547909968
E05007436,Hindhead,2001,2.354054054
E05007322,Holmwoods,2001,2.387859677
E05007294,Holy Trinity,2001,2.017939815
E05007332,Horley Central,2001,2.280669711
E05007333,Horley East,2001,2.469972703
E05007334,Horley West,2001,2.566878981
E05007445,Horsell East and Woodham,2001,2.553808948
E05007446,Horsell West,2001,2.451729107
E05007447,Kingfield and Westfield,2001,2.465393795
E05007335,Kingswood with Burgh Heath,2001,2.451027811
E05007448,Knaphill,2001,2.505539359
E05007367,Laleham and Shepperton Green,2001,2.403467823
E05007323,Leatherhead North,2001,2.222093918
E05007324,Leatherhead South,2001,2.138724912
E05007325,Leith Hill,2001,2.486090776
E05007381,Lightwater,2001,2.444689452
E05007396,Limpsfield,2001,2.434281843
E05007397,Lingfield and Crowhurst,2001,2.376576577
E05007258,Long Ditton,2001,2.420091324
E05007295,Lovelace,2001,2.293948127
E05007449,Maybury and Sheerwater,2001,2.688848921
E05007450,Mayford and Sutton Green,2001,2.522580645
E05007336,Meadvale and St Johns,2001,2.430814524
E05007296,Merrow,2001,2.350107395
E05007337,Merstham,2001,2.354153252
E05007326,"Mickleham, Westhumble and Pixham",2001,2.233585859
E05007437,Milford,2001,2.361830223
E05007259,Molesey East,2001,2.287624141
E05007260,Molesey North,2001,2.37972167
E05007261,Molesey South,2001,2.350054925
E05007451,Mount Hermon East,2001,2.399782727
E05007452,Mount Hermon West,2001,1.828182942
E05007382,Mytchett and Deepcut,2001,2.472374526
E05007358,New Haw,2001,2.443766347
E05007279,Nonsuch,2001,2.718272775
E05007338,Nork,2001,2.614306255
E05007297,Normandy,2001,2.342745098
E05007262,Oatlands Park,2001,2.170221016
E05007327,Okewood,2001,2.533793103
E05007383,Old Dean,2001,2.596842744
E05007453,Old Woking,2001,2.530143541
E05007298,Onslow,2001,2.555452436
E05007263,Oxshott and Stoke DAbernon,2001,2.605839416
E05007398,Oxted North and Tandridge,2001,2.379828326
E05007399,Oxted South,2001,2.578414097
E05007384,Parkside,2001,2.644583706
E05007299,Pilgrims,2001,2.426501035
E05007300,Pirbright,2001,2.814986124
E05007400,Portley,2001,2.636538462
E05007339,Preston,2001,2.496253122
E05007454,Pyrford,2001,2.550636132
E05007401,Queens Park,2001,2.352555701
E05007340,Redhill East,2001,2.203545634
E05007341,Redhill West,2001,2.331121643
E05007342,Reigate Central,2001,2.139072848
E05007343,Reigate Hill,2001,2.137055838
E05007368,Riverside and Laleham,2001,2.322682584
E05007280,Ruxley,2001,2.320501343
E05007344,Salfords and Sidlow,2001,2.313615024
E05007301,Send,2001,2.523721503
E05007302,Shalford,2001,2.31681334
E05007438,Shamley Green and Cranleigh North,2001,2.428958051
E05007369,Shepperton Town,2001,2.198552223
E05007345,South Park and Woodhatch,2001,2.454042847
E05007264,St Georges Hill,2001,2.385218827
E05007455,St Johns and Hook Heath,2001,2.334422658
E05007385,St Michaels,2001,2.290217391
E05007386,St Pauls,2001,2.646414343
E05007370,Staines,2001,2.092565809
E05007371,Staines South,2001,2.35671484
E05007281,Stamford,2001,2.37254902
E05007372,Stanwell North,2001,2.250154226
E05007303,Stoke,2001,2.506632435
E05007282,Stoneleigh,2001,2.643581081
E05007304,Stoughton,2001,2.461514873
E05007373,Sunbury Common,2001,2.407119741
E05007374,Sunbury East,2001,2.364661654
E05007346,Tadworth and Walton,2001,2.442286947
E05007402,Tatsfield and Titsey,2001,2.616714697
E05007347,Tattenhams,2001,2.317673378
E05007265,Thames Ditton,2001,2.362546507
E05007359,Thorpe,2001,2.469496021
E05007305,Tillingbourne,2001,2.309058615
E05007387,Town (Camberley),2001,2.205601907
E05007283,Town (Epsom),2001,2.020673813
E05007403,Valley,2001,2.267639903
E05007360,Virginia Water,2001,2.464968153
E05007266,Walton Ambleside,2001,2.611969112
E05007267,Walton Central,2001,2.287837309
E05007268,Walton North,2001,2.291523088
E05007269,Walton South,2001,2.341762452
E05007404,Warlingham East and Chelsham and Farleigh,2001,2.406492248
E05007405,Warlingham West,2001,2.45394252
E05007388,Watchetts,2001,2.472965593
E05007456,West Byfleet,2001,2.379146919
E05007389,West End,2001,2.560513447
E05007284,West Ewell,2001,2.626691554
E05007306,Westborough,2001,2.567873303
E05007328,Westcott,2001,2.350678733
E05007270,Weston Green,2001,2.654427646
E05007406,Westway,2001,2.366941015
E05007271,Weybridge North,2001,2.176535088
E05007272,Weybridge South,2001,2.050379198
E05007407,Whyteleafe,2001,2.186710964
E05007390,Windlesham,2001,2.488682531
E05007439,Witley and Hambledon,2001,2.476830087
E05007408,Woldingham,2001,2.577868853
E05007285,Woodcote,2001,2.420349908
E05007361,Woodham,2001,2.503966402
E05007307,Worplesdon,2001,2.417702783
