code,value,areaName,cx,cy,region,own,mortgage,sharedOwn,laRent,socialRent,privateRent,otherRent,freeRent,urbanisation,total_housing,percentage_own,percentage_mortgage,percentage_sharedOwn,percentage_laRent,percentage_socialRent,percentage_privateRent,percentage_otherRent,percentage_freeRent,LONG,LAT
E06000001,985.5,Hartlepool,448118,530661,E12000001,12761,11073,239,3986,5608,6338,856,68,Suburban,40929,31.17838208,27.05416697,0.583938039,9.738815998,13.70177625,15.48535268,2.091426617,0.166141367,-1.27018,54.67614
E06000002,2671.2,Middlesbrough,450380,516653,E12000001,17224,15913,330,6773,7233,11286,1391,115,Urban,60265,28.58043641,26.40504439,0.547581515,11.23869576,12.00199121,18.72728781,2.308139053,0.190823861,-1.21099,54.54467
E06000003,557.1,Redcar and Cleveland,463383,518023,E12000001,22649,17205,346,5269,6380,8410,1338,41,Suburban,61638,36.74518966,27.91297576,0.561342029,8.548298128,10.35075765,13.64418054,2.17073883,0.066517408,-1.00608,54.56752
E06000004,959.3,Stockton-on-Tees,443484,518785,E12000001,27726,27686,385,7204,6469,12388,1819,79,Suburban,83756,33.10330006,33.05554229,0.459668561,8.601174841,7.72362577,14.79058217,2.171784708,0.094321601,-1.30664,54.55687
E06000005,545.9,Darlington,429038,517147,E12000001,16222,14474,190,5112,2819,9035,1043,20,Suburban,48915,33.16365123,29.59010528,0.388428907,10.45078197,5.763058367,18.47081672,2.132270265,0.040887253,-1.56835,54.53534
E06000006,1624.3,Halton,352162,383230,E12000002,17096,16744,429,2898,10721,7088,930,45,Suburban,55951,30.55530732,29.92618541,0.766742328,5.179532091,19.16140909,12.66822756,1.662168683,0.080427517,-2.68853,53.33424
E06000011,142.4,East Riding of Yorkshire,499908,442365,E12000003,65680,45518,634,10874,3406,22171,3561,222,Rural,152066,43.19177199,29.93305538,0.41692423,7.150842397,2.239816922,14.57985348,2.341746347,0.145989242,-0.66195,53.88112
E06000012,815,North East Lincolnshire,523749,406881,E12000003,24373,20211,358,2729,6462,14185,1459,49,Suburban,69826,34.90533612,28.94480566,0.512703005,3.908286312,9.254432446,20.31478246,2.089479563,0.070174434,-0.13911,53.52327
E06000014,745.8,York,461737,451799,E12000003,31453,24182,719,7152,4772,15209,1875,96,Suburban,85458,36.80521426,28.29694119,0.841348967,8.36902338,5.584029582,17.7970465,2.19406024,0.112335884,-1.07376,53.96583
E06000015,3349.5,Derby,435851,335169,E12000004,33384,28985,790,11713,8138,20395,2058,188,Urban,105651,31.59837578,27.43466697,0.747744934,11.08650178,7.702719331,19.30412396,1.947922878,0.177944364,-1.47186,52.91464
