code,category,value,areaName,cx,cy,region,pop_value,own,mortgage,sharedOwn,laRent,socialRent,privateRent,otherRent,freeRent,Average_Price,cxx,cyy
E06000001,popDensity,985.5,Hartlepool,448118,530661,E12000001,92338,12761,11073,239,3986,5608,6338,856,68,115063.4411,51.94658622741188,19.956191378941934
E06000002,popDensity,2671.2,Middlesbrough,450380,516653,E12000001,143926,17224,15913,330,6773,7233,11286,1391,115,120162.8359,39.35248932437173,14.192958113180586
E06000003,popDensity,557.1,Redcar and Cleveland,463383,518023,E12000001,136531,22649,17205,346,5269,6380,8410,1338,41,132098.9016,27.73844662491001,40.84129143
E06000004,popDensity,959.3,Stockton-on-Tees,443484,518785,E12000001,196595,27726,27686,385,7204,6469,12388,1819,79,141877.9177,24.049864200531797,25.932571213813613
E06000005,popDensity,545.9,Darlington,429038,517147,E12000001,107799,16222,14474,190,5112,2819,9035,1043,20,137788.7761,27.342968331261368,17.111832735837634
E06000006,popDensity,1624.3,Halton,352162,383230,E12000002,128478,17096,16744,429,2898,10721,7088,930,45,154835.8009,25.188340570039042,42.511148579736826
E06000011,popDensity,142.4,East Riding of Yorkshire,499908,442365,E12000003,342215,65680,45518,634,10874,3406,22171,3561,222,197186.1459,24.79123509696724,41.60157734336054
E06000012,popDensity,815,North East Lincolnshire,523749,406881,E12000003,156966,24373,20211,358,2729,6462,14185,1459,49,134574.0621,21.538096903663888,14.235834254508653
E06000014,popDensity,745.8,York,461737,451799,E12000003,202821,31453,24182,719,7152,4772,15209,1875,96,272116.3652,38.80289008623981,43.464593078946635
E06000015,popDensity,3349.5,Derby,435851,335169,E12000004,261364,33384,28985,790,11713,8138,20395,2058,188,173525.779,52.03010290356547,25.722155765391523
E06000017,popDensity,107.5,Rutland,491121,307844,E12000004,41049,7286,4555,233,310,1509,2082,708,8,324529.5144,35.507368308776755,5.447759781476547
E06000018,popDensity,4337.6,Nottingham,455451,340739,E12000004,323632,27940,28375,609,22854,8942,33039,2649,335,161041.9402,35.14839757239462,7.613952599
E06000019,popDensity,85.8,Herefordshire,349035,245285,E12000005,187034,35070,19893,916,2657,8652,12943,2662,34,261794.6212,33.93370335262717,31.137466275286844
E06000020,popDensity,639.1,Telford and Wrekin,367109,314837,E12000005,185541,23088,22776,586,4966,8818,14694,1503,78,183847.4791,29.93586138670094,33.92045416224683
E06000021,popDensity,2764.8,Stoke-on-Trent,389018,346716,E12000005,258366,33558,29095,404,16913,7656,20065,2335,374,121298.1427,53.73307449,8.333141384713144
E06000023,popDensity,4308.1,Bristol,346546,172919,E12000009,472465,48199,55221,1656,24977,10902,46271,3942,470,308010.0316,35.53273051647165,39.241428069058514
E06000024,popDensity,579.9,North Somerset,344429,165882,E12000009,216726,37250,30532,679,2003,6711,15541,1879,53,282531.0042,52.67169006305525,8.948356679
E06000026,popDensity,3314.8,Plymouth,249389,56735,E12000009,264695,33783,32255,1349,7386,13725,22754,3167,138,186091.8351,16.88740126,30.567782518908217
E06000027,popDensity,2215.6,Torbay,291417,61223,E12000009,139324,24663,15699,622,561,4664,15195,1572,16,209376.2122,48.80448052062077,18.589456761579534
E06000031,popDensity,628.1,Peterborough,518343,302621,E12000006,215671,22268,24624,1167,5009,10751,18675,1937,102,197528.178,45.23211278196436,30.69368334274618
E06000032,popDensity,5196,Luton,508515,222915,E12000006,225262,20296,22281,426,8498,4425,21280,1607,127,240193.948,20.22245971865333,15.340858888123226
E06000035,popDensity,1444.2,Medway,578769,172759,E12000008,279773,34388,37734,1646,4553,10577,20219,2272,68,254619.1909,40.298295711101844,4.741457910595256
