code,region,2001,2011,2021
K04000001,England and Wales,344.5412371,371.2481318,395
E92000001,England,377.090429,406.8165516,434
W92000004,Wales,139.9986742,147.7324221,150
E12000001,North East,293.148536,302.639624,308
E12000002,North West,477.0173555,499.8705487,526
E12000003,Yorkshire and The Humber,322.298473,343.0002736,356
E12000004,East Midlands,267.0444031,290.1536616,312
E12000005,West Midlands,405.2315808,430.9687824,458
E12000006,East of England,281.8714544,305.8741102,331
E12000007,London,4562.309466,5199.60614,5598
E12000008,South East,419.5001816,452.7483963,486
E12000009,South West,206.76468,221.8889312,239
E10000003,Cambridgeshire,181.4173175,203.9270625,223
E10000006,Cumbria,72.04770097,73.85666911,74
E10000007,Derbyshire,288.4344301,302.2221685,312
E10000008,Devon,107.3285731,113.7137036,124
E10000011,East Sussex,288.1387824,308.2414201,319
E10000012,Essex,379.0319314,402.9540835,435
E10000013,Gloucestershire,212.8373946,225.0619408,243
E10000014,Hampshire,337.1396706,358.2545337,381
E10000015,Hertfordshire,629.3061669,679.2561049,730
E10000016,Kent,375.1574493,412.9732173,445
E10000017,Lancashire,392.1997792,404.761017,427
E10000018,Leicestershire,292.6610904,312.3005929,342
E10000019,Lincolnshire,108.9136316,120.1974771,129
E10000020,Norfolk,147.990185,159.3526984,170
E10000023,North Yorkshire,70.8766462,74.44920681,77
E10000024,Nottinghamshire,359.0425207,376.9356457,396
E10000025,Oxfordshire,232.4391525,250.9843334,278
E10000027,Somerset,144.3667472,153.6022055,166
E10000028,Staffordshire,307.8821047,323.8150819,334
E10000029,Suffolk,175.932991,191.6233801,200
E10000030,Surrey,636.9988941,681.1295494,724
E10000031,Warwickshire,256.1252561,276.1786556,302
E10000032,West Sussex,378.4969711,405.2592108,443
E10000034,Worcestershire,311.4694676,325.2883731,347
E11000001,Greater Manchester,1945.425562,2102.324327,2248
E11000002,Merseyside,2088.364996,2117.754984,2182
E11000003,South Yorkshire,816.1761213,865.974107,886
E11000005,West Midlands,2834.397783,3034.982385,3238
E11000006,West Yorkshire,1024.620026,1096.980937,1159
E11000007,Tyne and Wear,1992.66337,2046.168503,2088
E13000001,Inner London,8664.580709,10123.55057,10664
E13000002,Outer London,3516.914714,3944.84289,4307
E06000001,Hartlepool,945.4741402,981.9776561,985
E06000002,Middlesbrough,2502.950915,2568.817556,2671
E06000003,Redcar and Cleveland,567.7160416,551.5859366,557
E06000004,Stockton-on-Tees,870.5963068,934.9880522,959
E06000005,Darlington,495.4478451,534.5610825,546
E06000006,Halton,1494.714481,1590.030853,1621
E06000007,Warrington,1057.837687,1119.583409,1168
E06000008,Blackburn with Darwen,1003.268816,1076.388407,1130
E06000009,Blackpool,4080.307649,4074.027341,4046
E06000010,Kingston upon Hull,3402.911557,3581.904819,3731
E06000011,East Riding of Yorkshire,130.6848442,139.0327414,142
E06000012,North East Lincolnshire,820.1101738,828.6449846,815
E06000013,North Lincolnshire,180.5513998,197.800435,200
